,0-7d,7-14d,14-30d,30-60d,60-90d,90-120d,120-180d,180-270d,270-365d,365-450d
MMP16,2.6211636,0.89023215,0.79342014,0.4441308,0.6678054,0.67712456,0.79220414,0.256629,0.2147476,0.20980114
MMP17,0.11744923,0.23387536,0.29856083,0.28161758,0.38376683,0.37040782,0.25508097,0.10522467,0.08195261,0.0
MMP19,0.02342875,0.025136042,0.013434263,0.010537599,0.016176952,0.012025007,0.018622838,0.009018794,0.0,0.2300052
MMP24,0.1372927,0.21972787,0.13508841,0.17955409,0.30475417,0.31743795,0.33041564,0.08241265,0.102497764,0.34594187
MMP25,0.005685578,0.08811764,0.008081198,0.0051492434,0.0101732025,0.008608059,0.014812019,0.01228,0.0017699201,0.081021756
MMP28,0.020804496,0.015542695,0.01916795,0.028764304,0.06325795,0.09055807,0.14255011,0.066340245,0.053221554,0.6963187
TIMP1,1.7138692,2.9502556,2.3140478,1.167216,1.2406256,1.1962402,1.5191442,2.071998,0.6592217,5.038885
TIMP2,0.6531496,1.0318903,1.1904784,1.1347438,1.6109749,1.761757,2.0496924,2.1457973,0.8633253,3.0385847
TIMP3,0.69317806,0.2600715,0.39289418,0.3180979,0.4639355,0.46929464,0.71248966,0.8782371,0.12135095,3.8749998
TIMP4,0.0042047026,0.064366445,0.029577842,0.010902304,0.04074324,0.032237433,0.062113192,0.024616582,0.0038928664,0.11361042
ADAM10,1.9950643,2.7087564,1.4818157,0.8513833,1.0628124,0.8400435,1.0288082,0.73804635,0.615155,1.2363034
