gene_symbol,pct_cells_expressing,mean expression,is_hvg_in_atlas,Category,Subcategory,Matrisome Division,passes_global_filter,max_pct_any_celltype,passes_celltype_filter,top_celltype,top_region,temporal_cv,passes_combined,hvg_passes_combined
ITGAD,0.010392086651929516,0.0005128885,False,Integrins,Alpha Subunits (Leukocyte),Matrisome-Associated,False,1.0416666666666665,False,Microglia,Ventral midbrain,2.3731728,False,False
LAMC1,8.58245160618736,0.4188865,False,Laminins,Gamma Chains,Core Matrisome,True,66.57521719250299,True,PSC,Unspecific,0.85260755,True,False
LAMB2,7.075373126732995,0.34244502,False,Laminins,Beta Chains,Core Matrisome,True,35.69940354604023,True,Astrocyte,Unspecific,1.4055386,True,False
LAMB1,6.97478450539031,0.34617257,True,Laminins,Beta Chains,Core Matrisome,True,60.17375400091603,True,PSC,Unspecific,0.9456147,True,True
LAMA5,5.843571986090672,0.28453773,False,Laminins,Alpha Chains,Core Matrisome,True,25.422953818015365,True,PSC,Unspecific,0.43887812,True,False
LAMA1,5.534689801855328,0.27076584,False,Laminins,Alpha Chains,Core Matrisome,True,64.33470507544754,True,PSC,Dorsal midbrain,1.2233272,True,False
LAMA4,3.5305420037951363,0.17815553,True,Laminins,Alpha Chains,Core Matrisome,True,45.338245829497886,True,NC Derivatives,Unspecific,1.5764587,True,True
LAMA2,1.5155502892284571,0.07756844,True,Laminins,Alpha Chains,Core Matrisome,True,19.291781803295073,True,NC Derivatives,Unspecific,0.96531343,True,True
LAMB4,0.9204338922092912,0.04538463,False,Laminins,Beta Chains,Core Matrisome,False,2.615839046730392,False,Non-telencephalic NPC,Ventral midbrain,2.1450193,False,False
LAMA3,0.767489486483973,0.038562737,False,Laminins,Alpha Chains,Core Matrisome,False,1.6920186871683545,False,Dorsal Telencephalic NPC,Cerebellum,1.1950353,False,False
LAMC2,0.6998279657828373,0.03397407,False,Laminins,Gamma Chains,Core Matrisome,False,9.693644261545463,True,PSC,Ventral midbrain,1.7085844,False,False
LAMB3,0.4616006750337638,0.022828976,False,Laminins,Beta Chains,Core Matrisome,False,1.6383050907986623,False,Ventral Telencephalic Neuron,Thalamus,0.9637775,False,False
LAMC3,0.25070909047780354,0.012308644,True,Laminins,Gamma Chains,Core Matrisome,False,9.419295839048896,True,PSC,Unspecific,0.73805195,False,False
