gene_symbol,Category,Subcategory,pct_cells_expressing,mean expression,is_hvg_in_atlas,max_pct_any_celltype,top_celltype,top_region,temporal_cv
PXN,Mechanotransduction,Focal Adhesion Mechanosensors,5.3699978199152545,0.25878596,False,27.114769090077633,PSC,Unspecific,1.3422226
AMOT,Mechanotransduction,Hippo Pathway,4.850732359710508,0.23364268,False,24.554183813442872,PSC,Unspecific,0.9296741
TEAD3,Mechanotransduction,Hippo Pathway,4.274536337847466,0.20410892,False,19.112940100594283,PSC,Unspecific,0.8078439
ACTA2,Mechanotransduction,Cytoskeletal,4.241778673401223,0.21719933,True,68.66585067319309,EC,Medulla,1.2636243
PIEZO2,Mechanotransduction,Mechanosensitive Ion Channels,3.9159528696247192,0.19551055,False,11.91930671970635,MC,Ventral midbrain,0.76007575
LATS2,Mechanotransduction,Hippo Pathway,3.68602795245118,0.17376268,False,16.918152720621745,PSC,Ventral midbrain,0.78305656
PARVB,Mechanotransduction,Focal Adhesion Mechanosensors,2.808348460219099,0.13364159,False,24.46273433927735,Microglia,Ventral midbrain,0.93976164
TEAD4,Mechanotransduction,Hippo Pathway,1.56214524296679,0.073047325,False,50.70873342478387,PSC,Unspecific,1.1170928
VCAN,Proteoglycans,Lectican / CSPG,41.686726029407204,2.3979268,True,92.82121627800954,PSC,Dorsal telencephalon,0.42474306
GPC1,Proteoglycans,Glypicans (GPI-anchored HSPG),24.019105625639504,1.2500433,False,50.78688685521831,Dorsal Telencephalic NPC,Dorsal telencephalon,0.37914976
NCAN,Proteoglycans,Lectican / CSPG,23.00779745393463,1.2481204,True,63.71435574799656,Astrocyte,Dorsal telencephalon,0.63404745
SDC2,Proteoglycans,Syndecans (Cell-Surface HSPG),17.398103896109582,0.8999324,True,53.04069501600483,MC,Unspecific,0.81752163
SDC3,Proteoglycans,Syndecans (Cell-Surface HSPG),15.869337583604967,0.80438846,False,57.42503472504187,Astrocyte,Unspecific,0.53521883
GPC6,Proteoglycans,Glypicans (GPI-anchored HSPG),14.674925363387455,0.78245723,False,34.91803815068184,Neuroepithelium,Dorsal midbrain,1.1672406
GPC4,Proteoglycans,Glypicans (GPI-anchored HSPG),13.92635625204062,0.7133545,False,63.008687700047396,PSC,Unspecific,0.9325413
AGRN,Proteoglycans,Basement Membrane HSPG,12.410297654194393,0.6192497,False,46.913580246914464,PSC,Pons,0.4546153
BCAN,Proteoglycans,Lectican / CSPG,11.855337635489603,0.7094833,True,92.73633466782123,Astrocyte,Unspecific,1.156054
GPC3,Proteoglycans,Glypicans (GPI-anchored HSPG),8.94459323451375,0.49704513,True,75.44581618655921,PSC,Thalamus,1.7962024
SDC1,Proteoglycans,Syndecans (Cell-Surface HSPG),4.631538401579704,0.2221192,False,17.283950617283832,Neuroepithelium,Dorsal midbrain,1.0203724
DCN,Proteoglycans,SLRP,4.289107850652863,0.27017802,True,81.44013963028738,MC,Unspecific,1.2669901
LUM,Proteoglycans,SLRP,3.744596397331789,0.21316946,True,63.52769265116889,MC,Unspecific,0.9751002
HSPG2,Proteoglycans,Basement Membrane HSPG,3.5038275636519076,0.1662036,False,44.947416552355605,PSC,Unspecific,1.279917
SDC4,Proteoglycans,Syndecans (Cell-Surface HSPG),2.8279465801550403,0.13232681,False,47.91952446273527,PSC,Unspecific,1.3630822
BGN,Proteoglycans,SLRP,1.2647847200185212,0.064623505,True,18.421860607921094,MC,Unspecific,0.6581974
