,Cerebellum,Dorsal midbrain,Dorsal telencephalon,Hypothalamus,Medulla,Pons,Thalamus,Unspecific,Ventral midbrain,Ventral telencephalon
ITGAX,0.0028624332,0.0036181405,0.002376122,0.001760746,0.0037246319,0.0025408366,0.0011511365,0.004357468,0.0030749564,0.0007725508
ITGAD,0.0013263237,0.0014670229,0.0001824131,0.000445308,0.0010716311,0.001006722,0.0001358703,0.00065851427,0.0028046197,0.00015966728
ITGAE,1.6755253,1.4408172,1.5011452,1.1649154,1.9643354,1.9527637,1.9133588,2.0472822,1.6676425,1.6683764
ITGB1,1.732525,2.035253,1.4275619,1.2734494,2.2898788,1.9762862,1.7965646,3.012248,2.6405382,1.7682122
ITGB2,0.005671354,0.0074190353,0.0017665959,0.001249936,0.0045296447,0.008416449,0.001476986,0.005045577,0.01159863,0.0015661895
ITGB3,0.025661904,0.026685186,0.004251044,0.0053481474,0.015654368,0.011358045,0.0033473363,0.011116787,0.030699868,0.00367957
ITGB4,0.025492702,0.033946257,0.008476109,0.013586639,0.07066397,0.027949093,0.023410868,0.17693327,0.05035429,0.0088393185
ITGB5,0.17428386,0.22751032,0.022725599,0.07248605,0.2542334,0.15071076,0.11044802,0.81803685,0.4181615,0.07375929
ITGB6,0.016815798,0.017042458,0.0037045078,0.008153865,0.058070324,0.017972708,0.025068112,0.021451605,0.006315594,0.0034435699
ITGB7,0.014501623,0.021856349,0.0020248427,0.004695961,0.0105941305,0.0068729687,0.014953507,0.012770516,0.012527717,0.001218813
ITGB8,1.5722357,1.351139,0.61580426,0.4670576,1.0661389,0.9623108,0.5756929,1.6569619,1.6444389,0.7635917
ITGA2B,0.21564129,0.26766595,0.06654765,0.0704489,0.11840158,0.12251128,0.07739616,0.101672426,0.2672447,0.07661332
YAP1,0.93553126,1.0759301,0.2829803,0.23966064,0.80108726,0.46338543,0.5357956,1.4156605,1.2645596,0.30568483
WWTR1,0.6595249,0.56064206,0.05950903,0.17590488,0.71523553,0.31352654,0.24264368,1.1580739,0.7122638,0.29036748
LATS1,0.6040842,0.75505006,0.6081599,0.4008289,0.48581666,0.51354486,0.42656815,0.61237407,0.74754846,0.6676839
LATS2,0.2265258,0.35561284,0.048970144,0.1105923,0.22727533,0.2252687,0.17545459,0.37224135,0.37922266,0.14447498
STK3,0.87202996,1.0490384,0.18776037,0.19447772,0.6016525,0.3580072,0.29694423,0.8536216,0.85787994,0.21853763
STK4,0.8250325,0.96022075,1.1577203,0.6468122,0.8109567,0.8612141,0.8009537,0.96663576,0.9993712,1.1280273
MOB1A,0.9007267,0.985368,0.85694194,0.52933604,1.0632106,0.8782398,0.9967882,1.5152334,1.1293663,0.9300386
MOB1B,0.8613908,0.94210637,0.47073096,0.38443637,0.6358851,0.61173266,0.4664831,0.8260579,1.1450397,0.6308365
SAV1,0.50965416,0.6155003,0.67441976,0.33275795,0.63560444,0.51455694,0.5111696,0.99127275,0.74628603,0.5874631
TEAD1,1.578971,1.7457573,0.65398365,0.8843837,0.9797947,0.92524797,0.90266556,1.6120495,1.8483839,1.0424265
TEAD2,0.569048,0.6295178,0.5946842,0.20846464,0.7229593,0.5578203,0.69363135,1.0046751,0.6523991,0.6200508
TEAD3,0.25042453,0.30252558,0.12853514,0.082430415,0.23804699,0.21973942,0.18071139,0.35667935,0.29508957,0.14902684
TEAD4,0.06834105,0.07069622,0.06577048,0.00936794,0.064479835,0.03630152,0.028375665,0.1314545,0.038531628,0.03955884
NF2,0.49532035,0.60323393,0.62005186,0.3925259,0.55843097,0.6204854,0.49837127,0.7120717,0.7167727,0.6738091
WWC1,0.5253525,0.31488943,0.54825205,0.10696996,0.35893592,0.27721742,0.1733982,0.46949738,0.23344111,0.11491925
AMOT,0.21177964,0.27322072,0.16071457,0.17087495,0.20945427,0.20028366,0.21491794,0.4146179,0.33991176,0.20789988
AMOTL1,0.7025216,0.762429,0.5272757,0.27010348,0.48561326,0.4971347,0.35166758,0.6881577,0.7677511,0.5792125
AMOTL2,0.3838851,0.57118094,0.5924339,0.27707323,0.43641484,0.60758996,0.5393635,0.5409846,0.49723992,0.5692105
